Aage
Aagot
Aaron
Aase
Aashild
Aasmund
Aasta
Abdi
Abdirahman
Abdul
Abdullah
Abdullahi
Abel
Abraham
Ada
Adam
Adele
Adnan
Adolf
Adrian
Adriana
Agata
Agathe
Agnar
Agnes
Agnete
Agnethe
Agnieszka
Ahmad
Ahmed
Ahmet
Aida
Aiden
Aileen
Ailin
Ailo
Aina
Aisha
Aksel
Alan
Albert
Albin
Aleksander
Aleksandra
Alette
Alex
Alexander
Alexandra
Alf
Alfhild
Alfred
Ali
Alice
Alicia
Alicja
Alida
Alina
Alise
Allan
Alma
Alv
Alva
Alvar
Alvhild
Alvilde
Alvin
Amadeus
Amal
Amalie
Amanda
Amandus
Amar
Amelia
Amin
Amina
Amir
Amira
Amna
Amund
Amy
Ana
Anas
Anastasia
Anbjørg
Anders
Andre
Andrea
Andreas
Andres
Andrew
Andrine
Andrzej
Ane
Aneta
Anett
Anette
Anfinn
Angela
Angelica
Angelika
Angelina
Anine
Anita
Anja
Anlaug
Ann
Anna
Annar
Annbjørg
Anne
Anneli
Annelise
Annette
Anni
Annie
Annika
Anniken
Annlaug
Anny
Ansgar
Anthony
Anton
Antoni
Antonio
Aram
Are
Arent
Arham
Arian
Ariana
Ariel
Arijus
Arild
Arin
Arman
Armin
Arn
Arna
Arnas
Arne
Arnfinn
Arnhild
Arnljot
Arnold
Arnstein
Arnt
Arnulf
Aron
Arthur
Artur
Arve
Arvid
Arvin
Aryan
Asbjørg
Asbjørn
Asgeir
Asha
Ask
Askil
Aslak
Aslaug
Asle
Asma
Asmund
Asta
Astri
Astrid
Atle
Aud
Audhild
Audny
Audun
August
Aune
Aurora
Axel
Ayaan
Ayan
Ayla
Ayman
Ayse
Ayub
Baard
Balder
Barbara
Barbro
Bartosz
Bastian
Beata
Beate
Beathe
Beatrice
Belinda
Ben
Benas
Bendik
Benedicte
Benedikte
Bengt
Benjamin
Benny
Bent
Bente
Benthe
Bergit
Bergliot
Bergljot
Berit
Bernard
Bernhard
Bernt
Berta
Bertha
Bertil
Bertine
Betina
Bettina
Betty
Bianca
Bilal
Birger
Birgit
Birgith
Birgitta
Birgitte
Birk
Birte
Birthe
Biørn
Bjarne
Bjarte
Bjørg
Bjørge
Bjørn
Bjørnar
Bo
Bodil
Borgar
Borghild
Borgny
Brage
Brede
Brian
Brit
Brita
Brith
Britt
Britta
Bror
Bruno
Brynhild
Brynjar
Brynjulf
Bård
Børge
Børre
Camilla
Carina
Carine
Carl
Carla
Carlos
Carmen
Carolina
Caroline
Carsten
Casper
Caspian
Cassandra
Catharina
Catherine
Cathrin
Cathrine
Cato
Catrine
Cecilia
Cecilie
Celina
Celine
Cesilie
Charles
Charlie
Charlotte
Chris
Chrisander
Christel
Christen
Christer
Christian
Christiane
Christin
Christina
Christine
Christoffer
Christopher
Cicilie
Cindy
Clara
Claudia
Claus
Colin
Connie
Conrad
Cornelia
Cornelius
Cristina
Dag
Dagfinn
Dagfrid
Dagmar
Dagny
Dagrun
Damian
Dan
Dani
Danial
Daniel
Daniela
Daniella
Danuta
Daria
Darin
David
Dawid
Denis
Dennis
Desiree
Dexter
Diana
Didrik
Diego
Dina
Domas
Dominic
Dominik
Dominika
Dominykas
Dordi
Doris
Dorota
Dorthe
Dorthea
Dovydas
Ebba
Eddie
Edel
Edgar
Edin
Edit
Edita
Edith
Edle
Edmund
Edna
Edny
Edvald
Edvard
Edvin
Edward
Edwin
Edyta
Egil
Eigil
Eik
Eileen
Eilen
Eilert
Eilif
Einar
Eira
Eirik
Eirin
Eivind
Eivor
Ekaterina
Elbjørg
Eldar
Eldbjørg
Eldrid
Elen
Elena
Elfrid
Eli
Eliah
Elian
Elias
Elida
Elijah
Elin
Elina
Eline
Elinor
Elisa
Elisabet
Elisabeth
Elise
Eliza
